DB00006	F2 PT RPRGL2 THPH1 MPO
DB00007	GNRHR GNRHR1 GRHR HH7 LHRHR LRHR CYP3A4 CP33 CP34 CYP3A CYP3A3 CYPIIIA3 CYPIIIA4 HLP NF-25 P450C3 P450PCN1
DB00014	LHCGR HHG LCGR LGR2 LH/CG-R LH/CGR LHR LHRHR LSH-R ULG5 GNRHR GNRHR1 GRHR HH7 LHRHR LRHR
DB00035	AVPR2 ADHR DI1 DIR DIR3 NDI V2R AVPR1A AVPR_V1a AVPR1 V1aR AVPR1B AVPR3 V1bR PTGS1 COX1 COX3 PCOX1 PES-1 PGG/HS PGHS-1 PGHS1 PHS1 PTGHS PTGS2 COX-2 COX2 GRIPGHS PGG/HS PGHS-2 PHS-2 hCox-2
DB00080
DB00091	CAMLG CAML GET2 PPP3R2 PPP3RL PPIA CYPA CYPH HEL-S-69p PPIF CYP3 CyP-M Cyp-D CypD CYP3A5 CP35 CYPIIIA5 P450PCN3 PCN3 CYP3A4 CP33 CP34 CYP3A CYP3A3 CYPIIIA3 CYPIIIA4 HLP NF-25 P450C3 P450PCN1 CYP2C19 CPCJ CYP2C CYPIIC17 CYPIIC19 P450C2C P450IIC19 CYP2D6 CPD6 CYP2D CYP2D7AP CYP2D7BP CYP2D7P2 CYP2D8P2 CYP2DL1 CYPIID6 P450-DB1 P450C2D P450DB1 ABCB1 ABC20 CD243 CLCS GP170 MDR1 P-GP PGY1 ABCB11 ABC16 BRIC2 BSEP PFIC-2 PFIC2 PGY4 SPGP SLC10A2 ASBT IBAT ISBT NTCP2 PBAM SLC10A1 NTCP SLC22A6 HOAT1 OAT1 PAHT ROAT1 ABCC10 EST182763 MRP7 SIMRP7 ABCC2 ABC30 CMOAT DJS MRP2 cMRP ABCG2 ABC15 ABCP BCRP BCRP1 BMDP CD338 CDw338 EST157481 GOUT1 MRX MXR MXR-1 MXR1 UAQTL1 SLCO1B1 HBLRR LST-1 LST1 OATP-C OATP1B1 OATP2 OATPC SLC21A6 SLCO1B3 HBLRR LST-2 LST-3TM13 LST3 OATP-8 OATP1B3 OATP8 SLC21A8
DB00104	SSTR1 SRIF-2 SS-1-R SS1-R SS1R SSTR5 SS-5-R SSTR2 MPO CYP3A4 CP33 CP34 CYP3A CYP3A3 CYPIIIA3 CYPIIIA4 HLP NF-25 P450C3 P450PCN1
DB00115	MTR HMAG MS cblG MMUT MCM MUT MTRR MSR cblE MMAA cblA MMACHC cblC MTHFR MMAB ATR CFAP23 cblB cob cobU AMN PRO1028 amnionless TCN1 HC TC-1 TC1 TCI TCN2 D22S676 D22S750 II TC TC_II TC-2 TC2 TCII CBLIF GIF IF IFMH INF TCN3 CUBN IFCR IGS MGA1 gp280 LRP2 DBS GP330 LRP-2 ABCC1 ABC29 ABCC GS-X MRP MRP1
DB00121	PCCB HLCS HCS MCCC2 MCCB ACACB ACC2 ACCB HACC275 MCCC1 MCC-B MCCA PC PCB PCCA ACACA ACAC ACACAD ACC ACC1 ACCA CYP1B1 ASGD6 CP1B CYPIB1 GLC3A P4501B1 SLC5A6 SMVT SLC5A8 AIT SMCT SMCT1
DB00126	xylA PLOD2 BRKS2 LH2 TLH PHYH LN1 LNAP1 PAHX PHYH1 RD PLOD3 LH3 BBOX1 BBH BBOX G-BBH gamma-BBH DBH DBM ORTHYP1 PAM PAL PHM P3H1 GROS1 LEPRE1 OI8 P3H2 LEPREL1 MCVD MLAT4 P3H3 GRCB HSU47926 LEPREL2 P4HA1 P4HA OGFOD1 TPA1 OGFOD2 ALKBH2 ABH2 ALKBH3 ABH3 DEPC-1 DEPC1 PCA1 hABH3 KDM5D HY HYA JARID1D SMCY PLOD1 EDS6 EDSKCL1 LH LH1 LLH PLOD TMLHE AUTSX6 BBOX2 TMLD TMLH TMLHED XAP130 P4HTM EGLN4 HIDEA HIFPH4 P4H-TM PH-4 PH4 PHD4 EGLN1 C1orf12 ECYT3 HALAH HIF-PH2 HIFPH2 HPH-2 HPH2 PHD2 SM20 ZMYND6 EGLN2 EIT-6 EIT6 HIF-PH1 HIFPH1 HPH-1 HPH-3 PHD1 EGLN3 HIFP4H3 HIFPH3 PHD3 TXNRD1 GRIM-12 TR TR1 TRXR1 TXNR ALB HSA PRO0883 PRO0903 PRO1341 SLC23A1 SLC23A2 SVCT1 YSPL3 SLC23A2 NBTL1 SLC23A1 SVCT2 YSPL2 SLC2A1 CSE DYT17 DYT18 DYT9 EIG12 GLUT GLUT-1 GLUT1 GLUT1DS HTLVR PED SDCHCN SLC2A3 GLUT3 SLC2A4 GLUT4
DB00136	VDR NR1I1 PPP1R163 HOXA10 HOX1 HOX1.8 HOX1H PL CYP24A1 CP24 CYP24 HCAI HCINF1 P450-CC24 CYP3A4 CP33 CP34 CYP3A CYP3A3 CYPIIIA3 CYPIIIA4 HLP NF-25 P450C3 P450PCN1 GC DBP DBP-maf DBP/GC GRD3 Gc-MAF GcMAF HEL-S-51 VDB VDBG VDBP
DB00137	ALB HSA PRO0883 PRO0903 PRO1341
DB00147	PDXK C21orf124 C21orf97 HEL-S-1a HMSN6C PKH PNK PRED79
DB00152	TPK1 HTPK1 PP20 THMD5 CYP4B1 CYPIVB1 P-450HP TPK1 HTPK1 PP20 THMD5 ENTPD5 CD39L4 NTPDase-5 PCPH THTPA THTP THTPASE ALB HSA PRO0883 PRO0903 PRO1341 SLC22A2 OCT2 SLC22A1 HOCT1 OCT1 oct1_cds SLC22A5 CDSP OCTN2 SLC19A2 TC1 THMD1 THT1 THTR1 TRMA SLC19A3 BBGD THMD2 THTR2 thTr-2
