DB00006	P00734 P05164
DB00007	P30968 P08684
DB00014	P22888 P30968
DB00035	P30518 P37288 P47901 P23219 P35354
DB00080
DB00091	P49069 Q96LZ3 P62937 P30405 P20815 P08684 P33261 P10635 P08183 O95342 Q12908 Q14973 Q4U2R8 Q5T3U5 Q92887 Q9UNQ0 Q9Y6L6 Q9NPD5
DB00104	P30872 P35346 P30874 P05164 P08684
DB00115	Q99707 P22033 Q9UBK8 Q8IVH4 Q9Y4U1 P42898 Q96EY8 Q05599 Q9BXJ7 P20061 P20062 P27352 O60494 P98164 P33527
DB00121	P05166 P50747 Q9HCC0 O00763 Q96RQ3 P11498 P05165 Q13085 Q16678 Q9Y289 Q8N695
DB00126	Q54873 P24300 O00469 O14832 O60568 O75936 P09172 P19021 Q32P28 Q8IVL5 Q8IVL6 P13674 Q8N543 Q6N063 Q6NS38 Q96Q83 Q9BY66 Q02809 Q9NVH6 Q9NXG6 Q9GZT9 Q96KS0 Q9H6Z9 Q16881 P02768 Q9UHI7 Q9UGH3 P11166 P11169 P14672
DB00136	P11473 P31260 Q07973 P08684 P02774
DB00137	P02768
DB00147	O00764
DB00152	Q9H3S4 P13584 Q9H3S4 O75356 Q9BU02 P02768 O15244 O15245 O76082 O60779 Q9BZV2
DB00153	P11473 Q06432 Q9Y698 O60359 Q9UBN1 Q9UF02 Q9BXT2 P62955 Q8WXS5 P54289 Q9NY47 Q8IZS8 Q7Z3S7 Q13936 Q01668 O60840 Q13698 Q02641 Q08289 P54284 O00305 Q00975 O00555 Q15878 O43497 O95180 Q9P0X4 Q07973 O15528 Q02318 Q6VVX0 Q96AT9 P05108 P02774
DB00158	P41439 P14207 P15328 Q92820 P42898 P00374 Q96J66 O15438 Q4U2R8 O15439 Q9UNQ0 Q96NT5 Q9H2D1
DB00163	O75469 P05771 P09917 P17252 P23743 P62714 P67775 Q9UDX3 Q9UDX4 O76054 P09210 P09211 P78417 P21266 P48506 P15559 P09601 P00441 P08684 P49638 O76054 Q9UDX4 P55058 Q8WTV0 O95477 Q9UHC9 P45844
DB00165	O00764 P04798 O00764 Q96GD0 P05186 P02768 P05186
DB00169	P11473 Q6VVX0 Q02318 P51589 P08684 P05108 P04798 P10632 P02774
DB00175	P04035 Q92769 Q9Y6L6 O94956 P08183 P46721 Q4U2R8 Q8TCC7 Q92887 Q9NSA0 Q9UNQ0 Q9Y694 P53985 O95342 Q9NPD5
DB00176	P31645 Q12809 P10635 P05177 P04798 P08684 P08684 Q9HB55 P20815 P24462 P11712 P33261 P20813 P08183 O95342
DB00177	P30556 P11712 Q9NPD5 Q9Y6L6 Q92887
DB00178	P12821 P46663 P06276 P46059 Q16348
DB00180	P04150 P08684 P08185
DB00181	Q9UBS5 O75899
DB00182	Q05940 Q01959 Q16568 Q96RJ0 P23975 P35348 P35368 P25100 P08913 P18089 P18825 P08588 P07550 P13945 P14416 P27338 P31645 P21397 P27338 Q99870 P10635 P11509 O75751 O76082
DB00184	P43681 P36544 P17787 Q15822 P32297 P30532 Q15825 Q9UGM1 Q9GZZ6 Q05901 P30926 P11511 P28329 P11509 P05181 Q16696 P20813 P04798 P05177 P33261 P10632 P11712 P10635 P08684 P21397 P27338 O15244 O15245 O75751 O76082 Q9H015
DB00186	P14867 P47869 P34903 P48169 P31644 Q16445 P18505 P47870 P28472 O14764 P78334 Q8N1C3 P18507 Q99928 O00591 Q9UN88 P30536 P54855 P08684
DB00188	P28074 P20618 P08684 P33261 P10635 P05177 P11712
DB00190	P20711
DB00191	P23975 P31645 Q01959 P21397 P27338 P01303 P08684
DB00193	P35372 P23975 P31645 P28335 P41145 P41143 Q693P7 P20309 P11229 P25103 Q99250 Q8NER1 Q05586 Q12879 Q13224 Q14957 O15399 Q8TCU5 O60391 P30542 P08913 P18089 P18825 P10635 P08684 P20813 P22309
DB00195	P08588 P07550 P05177 P10635
DB00196	P10613 P08684 P11712 P33261 P20815 P08183
DB00198	P11485 Q99519 Q9Y3R4 P23141 O15439 P46059 Q8TCC7
DB00199	O43193 Q12809 P08684 P24462 P20815 Q9NPD5 O95342 P08183 Q9Y6L6 Q92887 P46721
DB00200	Q99707 P22033 Q9UBK8 Q8IVH4 P20061 Q9BXJ7 O60494 Q96EY8 Q9Y4U1 P20062
