DB00006	H00223 H01254 H00101 H02025
DB00007	H00255
DB00014	H00608 H00937 H02019 H00255
DB00035	H00252 H01294 H01682 H01683 H00017 H00025 H00046
DB00080
DB00091	H01171 H01171 H01227 H01529 H01709 H00624 H02192 H01016 H00208 H02056 H00208 H02057 H00208 H02057
DB00104	H00101 H02025
DB00115	H00262 H01285 H00174 H01400 H00183 H00262 H01552 H00174 H02221 H00183 H00262 H01552 H01649 H00174 H01277 H01190 H01277 H01277 H00886
DB00121	H00175 H01400 H00180 H00181 H00181 H00073 H01400 H00175 H01400 H01159 H01203
DB00126	H00514 H00075 H01192 H01005 H00506 H02041 H00980 H02245 H02111 H00236 H00232 H00808 H00831 H00836
DB00136	H00342 H00784 H01143 H01593 H01371
DB00137
DB00147
DB00152	H01567 H01567 H00286 H00525 H01589 H01183 H01565 H01231
DB00153	H00342 H00784 H01143 H01593 H00773 H00481 H00720 H00728 H01603 H00481 H00690 H00787 H00215 H00746 H00728 H00749 H00808 H02217 H00831 H00063 H00606 H00749 H00775 H01808 H00063 H00808 H01603 H02215 H01371 H00408 H01143 H00151 H01143 H02314
DB00158	H01295 H00183 H00262 H01552 H01649 H01197 H01252
DB00163	H00024 H00668 H01714 H00058 H00981 H00159 H00930
DB00165	H00213 H00213
DB00169	H00342 H00784 H01143 H01593 H01143 H00151 H02314
DB00175	H00208 H02057 H01227 H01529 H01709 H00208 H02056 H01248 H01267 H00624 H02192 H00208 H02057
DB00176	H01450 H00720 H00725 H01171 H01205 H01171 H01227 H01529 H01709 H00624 H02192
DB00177	H00575 H01205 H00208 H02057 H00208 H02057 H00208 H02056
DB00178	H00083 H00575 H01456 H01457
DB00180	H01702 H01709 H01163
DB00181	H00606
DB00182	H02106 H01031 H02213 H00079 H02106 H02106 H01611 H01450 H00548 H01450 H01171 H01205 H00286 H00525 H01589
DB00184	H00807 H01877 H00807 H00807 H00794 H02020 H00770 H01205 H01171 H01205 H01171 H00548 H01450 H00286 H00525 H01589 H00286
DB00186	H00606 H00808 H02215 H02217 H01611 H00606 H02150 H00606 H02215 H00783 H00808 H02217 H00783 H02215
DB00188	H01171 H01171 H01205
DB00190	H01161
DB00191	H01031 H01450 H00548 H01450
DB00193	H01611 H01031 H01450 H01703 H02129 H00606 H02362 H00773 H01514 H01827 H00606 H00773 H00606 H02213 H01171 H00208 H02054 H02055 H02152
DB00195	H00079 H02106 H01171
DB00196	H01205 H01171 H01227 H01529 H01709
DB00198	H00142 H00422
DB00199	H00720 H00725 H00208 H02057 H00624 H02192 H01227 H01529 H01709 H00208 H02057 H00208 H02056
DB00200	H00262 H01285 H00174 H01400 H00183 H00262 H01552 H00174 H01277 H01277 H00174 H02221 H01190
DB00201	H00699 H01310 H01570 H02388 H02211 H00482 H00481 H00971 H00260 H01431 H02049 H00260 H01431 H01570 H00527 H00527 H00787 H00092 H01387 H00027 H00031 H00048 H01102 H01222 H01431 H01912 H01985 H02153 H02297 H00063 H02281 H00408 H00005 H00064 H00094 H02211 H01205 H01159 H01203 H01171
DB00202	H02129
